date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.4,2.63,1.72,1.44,1.96,0.534,113
2019-12-10T00:00:00.000Z,0.4,6.33,1.23,0.98,1.89,0.909,280
2019-12-11T00:00:00.000Z,0.6,33.25,2.5,1.83,3.1,2.477,375
2019-12-12T00:00:00.000Z,0.38,23.54,15.35,1.02,19.63,8.566,445
2019-12-13T00:00:00.000Z,3.5,20.07,8.97,6.87,14.32,4.327,395
2019-12-14T00:00:00.000Z,1.63,16.37,5.92,3.8,8.86,3.647,392
2019-12-15T00:00:00.000Z,0.62,9.38,2.43,1.56,3.48,1.441,521
2019-12-16T00:00:00.000Z,1.06,4.08,1.95,1.65,2.38,0.616,281
2019-12-17T00:00:00.000Z,1.67,10.6,5.07,4.11,6.27,1.614,205
2019-12-18T00:00:00.000Z,0.3,9.33,1.43,0.97,2.04,1.977,274
2019-12-19T00:00:00.000Z,0.68,16.8,4.2,2.22,5.95,2.58,489
2019-12-20T00:00:00.000Z,4.05,33.17,16.72,11.77,24.88,7.292,562
2019-12-21T00:00:00.000Z,12.35,42,30.95,27.3,36.76,6.389,386
2019-12-22T00:00:00.000Z,1.88,11.31,5.2,4.43,6.16,1.499,583
2019-12-23T00:00:00.000Z,1.5,14.86,3.91,2.54,4.95,1.613,584
2019-12-24T00:00:00.000Z,1.2,18.7,5.23,4.45,7.3,2.996,583
2019-12-25T00:00:00.000Z,0.65,18.64,6.18,4.48,9.17,3.483,579
2019-12-26T00:00:00.000Z,0.53,4.75,1.93,1.42,2.85,0.977,586
2019-12-27T00:00:00.000Z,0.5,4,2.1,1.56,2.46,0.685,581
2019-12-28T00:00:00.000Z,1.15,4.63,2.29,1.86,3.05,0.784,584
2019-12-29T00:00:00.000Z,1.76,16.64,8.08,4.59,11.12,3.781,495
2019-12-30T00:00:00.000Z,0.85,12.42,2.88,2.4,3.58,2.348,577
2019-12-31T00:00:00.000Z,0.2,19.66,0.85,0.55,1.25,1.956,572
2020-01-01T00:00:00.000Z,0.64,3.57,1.4,1.12,1.98,0.589,578
2020-01-02T00:00:00.000Z,1.12,10.34,5.03,3.78,6.94,2.128,567
2020-01-03T00:00:00.000Z,0.38,7.32,1.02,0.74,1.86,1.164,545
2020-01-04T00:00:00.000Z,0.33,1.98,0.76,0.56,1.12,0.38,528
2020-01-05T00:00:00.000Z,0.56,4.08,1.2,0.97,1.58,0.463,564
2020-01-06T00:00:00.000Z,0.46,5.05,2.27,1.85,2.8,0.792,522
2020-01-07T00:00:00.000Z,0.38,12.5,3.21,0.75,6.12,3.045,467
2020-01-08T00:00:00.000Z,0.83,3.47,2.18,1.88,2.5,0.478,475
2020-01-09T00:00:00.000Z,1.38,8.08,3.08,2.6,4.2,1.103,453
2020-01-10T00:00:00.000Z,1.63,11.4,3.57,2.4,4.9,1.924,313
2020-01-11T00:00:00.000Z,0.6,5.58,2,1.4,2.83,0.893,421
2020-01-12T00:00:00.000Z,0.33,3.9,1.35,0.65,1.84,0.669,508
2020-01-13T00:00:00.000Z,1.2,4.05,2.34,2.04,2.66,0.46,468
2020-01-14T00:00:00.000Z,1.6,13.13,3.96,2.6,5.3,2.129,391
2020-01-15T00:00:00.000Z,0.4,6.48,1.76,1.23,2.42,1.07,395
2020-01-16T00:00:00.000Z,0.7,5.94,3,1.89,3.7,1.157,425
2020-01-17T00:00:00.000Z,1.97,20.27,7.06,2.96,15.71,6.258,404
2020-01-18T00:00:00.000Z,0.85,31.58,12.71,1.72,18.57,8.331,478
2020-01-19T00:00:00.000Z,0.6,3.47,1.08,0.9,1.38,0.441,438
2020-01-20T00:00:00.000Z,0.7,4.91,1.93,1.42,2.37,0.703,317
2020-01-21T00:00:00.000Z,0.4,4.05,1.7,1.23,2.25,0.693,442
2020-01-22T00:00:00.000Z,0.4,0.8,0.56,0.49,0.6,0.097,17
2020-01-23T00:00:00.000Z,1,4.59,2.22,1.5,2.93,0.82,87
2020-01-24T00:00:00.000Z,0.85,7.82,1.75,1.44,2.34,0.852,268
2020-01-25T00:00:00.000Z,0.62,5.92,1.3,0.95,2.85,1.254,301
2020-01-26T00:00:00.000Z,0.68,3.95,1.39,1.14,2.17,0.66,308
2020-01-27T00:00:00.000Z,2.43,18.98,7.03,5.42,8.72,3.291,258
2020-01-28T00:00:00.000Z,3.44,19.39,10.29,8.22,11.57,3.425,274
2020-01-29T00:00:00.000Z,0.95,13.76,4.19,1.85,5.8,2.468,311
2020-01-30T00:00:00.000Z,1.58,8.24,4.3,2.78,5.7,1.655,299
