date,min,max,median,q1,q3,stdev,count
2020-07-06T00:00:00.000Z,0.5,1.77,0.8,0.7,0.99,0.294,21
2020-07-07T00:00:00.000Z,0.07,4.57,0.6,0.4,0.77,0.414,439
2020-07-08T00:00:00.000Z,0.2,11.83,0.8,0.6,1.07,1.035,438
2020-07-09T00:00:00.000Z,0.2,12.53,0.6,0.4,1.1,1.192,470
2020-07-10T00:00:00.000Z,0.52,11.43,1.5,1.1,2.09,1.209,461
2020-07-11T00:00:00.000Z,0.4,5.17,1.1,0.8,1.63,0.654,339
2020-07-12T00:00:00.000Z,0.3,1.73,0.8,0.63,1,0.273,201
2020-07-13T00:00:00.000Z,0.2,47.6,1.2,0.87,1.82,4.043,289
2020-07-14T00:00:00.000Z,1,17.8,2.17,1.7,2.9,1.737,444
2020-07-15T00:00:00.000Z,0.93,16.73,2.7,1.83,4.3,1.836,354
2020-07-16T00:00:00.000Z,0.9,67.67,1.87,1.4,7.43,5.041,335
2020-07-17T00:00:00.000Z,0.6,32.1,1.57,1.3,1.87,1.604,493
2020-07-18T00:00:00.000Z,0.7,6.33,1.8,1.43,2.43,1.024,459
2020-07-19T00:00:00.000Z,1.2,12.83,4.33,1.87,5.93,2.161,171
2020-07-20T00:00:00.000Z,0.7,8.69,2.69,1.5,3.67,1.704,202
2020-07-21T00:00:00.000Z,0.1,6.1,0.83,0.6,1,0.57,264
2020-07-22T00:00:00.000Z,0.03,19.63,0.4,0.3,0.53,1.228,276
2020-07-23T00:00:00.000Z,0.03,3.8,0.3,0.2,0.4,0.34,298
2020-07-24T00:00:00.000Z,0,2.29,0.4,0.3,0.6,0.312,369
2020-07-25T00:00:00.000Z,0.1,2.06,0.4,0.22,1.4,0.618,77
2020-07-26T00:00:00.000Z,0.43,14.7,1.2,0.9,1.7,0.88,422
2020-07-27T00:00:00.000Z,1.23,16.47,2.8,2.1,3.93,1.787,279
2020-07-28T00:00:00.000Z,1.37,34.77,3.09,2.25,6.62,4.342,420
2020-07-29T00:00:00.000Z,0.4,4.07,1.4,1,2.5,0.873,312
2020-07-30T00:00:00.000Z,0.37,4.3,1.4,0.99,2.4,0.99,396
2020-07-31T00:00:00.000Z,0.6,7,2.57,1.63,4.3,1.468,389
2020-08-01T00:00:00.000Z,1.23,34.03,2.9,2.17,4.9,2.566,422
2020-08-02T00:00:00.000Z,0.68,15.4,2.87,1.7,4.2,1.615,419
2020-08-03T00:00:00.000Z,0.4,20.7,1.49,0.93,2.13,1.28,412
2020-08-04T00:00:00.000Z,0.03,14.63,0.69,0.37,1,0.831,470
2020-08-05T00:00:00.000Z,0.3,11.7,1.2,1,1.4,0.648,514
2020-08-06T00:00:00.000Z,0.9,13.2,1.77,1.43,2.31,0.908,384
2020-08-07T00:00:00.000Z,0.4,11.27,2.17,1.67,3.45,1.31,521
2020-08-08T00:00:00.000Z,1,9.19,2,1.6,3.23,1.086,469
2020-08-09T00:00:00.000Z,0.6,6.3,1.83,1.4,3.97,1.48,527
2020-08-10T00:00:00.000Z,0.4,26.7,1.17,1,1.4,1.507,534
2020-08-11T00:00:00.000Z,0.53,13.93,1.3,1.1,1.57,1,522
2020-08-12T00:00:00.000Z,0.9,10.19,1.5,1.33,1.73,0.752,517
2020-08-13T00:00:00.000Z,1.6,14.3,3.53,3,4.76,1.801,533
2020-08-14T00:00:00.000Z,2.37,63.9,4.5,3.65,5.5,3.274,476
2020-08-15T00:00:00.000Z,2.5,14.27,4.67,3.6,5.35,1.093,536
2020-08-16T00:00:00.000Z,0.6,17.67,4.78,1.1,7.53,3.099,536
2020-08-17T00:00:00.000Z,1.03,17.3,3.6,2.33,5.17,1.73,534
2020-08-18T00:00:00.000Z,1.97,10.43,4.2,3.23,5.3,1.566,526
2020-08-19T00:00:00.000Z,1.9,43.83,3.6,2.83,5.62,4.073,521
2020-08-20T00:00:00.000Z,1.27,8.93,2.8,2.47,3.3,1.056,523
2020-08-21T00:00:00.000Z,1.77,59.3,4.53,3.5,7.6,3.805,517
2020-08-22T00:00:00.000Z,1.27,9.23,3.6,2.1,5,1.796,476
2020-08-23T00:00:00.000Z,0.9,3.87,1.67,1.4,2.1,0.529,497
2020-08-24T00:00:00.000Z,0.1,4.97,1.1,0.6,2.2,0.912,412
2020-08-25T00:00:00.000Z,0.2,8.97,0.67,0.5,0.8,0.559,435
2020-08-26T00:00:00.000Z,0.3,16.67,0.9,0.67,1.21,1.107,448
2020-08-27T00:00:00.000Z,0.2,8.83,0.8,0.6,1.1,0.634,511
2020-08-28T00:00:00.000Z,0.2,12.2,0.9,0.63,1.6,1.141,463
2020-08-29T00:00:00.000Z,0.47,3.63,1.5,0.93,1.92,0.616,472
2020-08-30T00:00:00.000Z,0.4,8.63,1.67,1.1,2.6,1.641,480
2020-08-31T00:00:00.000Z,0.1,61.8,0.83,0.6,1.4,2.998,434
2020-09-01T00:00:00.000Z,0.73,16.32,2.1,1.5,2.74,1.224,401
2020-09-02T00:00:00.000Z,0.6,5.43,2.47,2,3.51,1.077,473
2020-09-03T00:00:00.000Z,1.9,51.73,5.97,4.67,8.15,3.085,465
2020-09-04T00:00:00.000Z,0.93,283.27,2.43,1.6,6.37,32.89,475
2020-09-05T00:00:00.000Z,0.6,7.8,1.7,1.25,2.29,0.711,481
2020-09-06T00:00:00.000Z,0.2,4.13,0.95,0.6,1.47,0.573,474
2020-09-07T00:00:00.000Z,0.2,6.03,0.73,0.5,1.4,0.916,442
2020-09-08T00:00:00.000Z,0.3,6.1,0.9,0.6,1.33,0.641,360
2020-09-09T00:00:00.000Z,0,4.53,2.77,0.9,3.4,1.333,403
2020-09-10T00:00:00.000Z,0.07,18.77,0.4,0.23,0.6,1.922,340
2020-09-11T00:00:00.000Z,0.2,4.8,1,0.63,1.6,0.718,287
2020-09-12T00:00:00.000Z,1.43,16.93,3.5,2.9,4.3,1.326,291
2020-09-13T00:00:00.000Z,0.47,4.63,2.4,1.6,2.97,0.849,312
2020-09-14T00:00:00.000Z,0.5,9.67,2.5,1.3,2.9,1.022,254
2020-09-15T00:00:00.000Z,2.23,26.37,5,4.26,5.63,1.82,239
2020-09-16T00:00:00.000Z,0.1,0.63,0.2,0.17,0.32,0.13,13
2020-09-17T00:00:00.000Z,0.2,1.97,0.63,0.5,0.83,0.266,111
2020-09-18T00:00:00.000Z,0.2,2.9,1.1,0.8,1.3,0.431,326
2020-09-19T00:00:00.000Z,0.33,4,1.07,0.83,1.4,0.653,310
2020-09-20T00:00:00.000Z,0.7,3.1,1.8,1.43,2.17,0.484,243
2020-09-21T00:00:00.000Z,1.4,10.57,2.42,2,3.1,0.845,216
2020-09-22T00:00:00.000Z,1,13.63,1.93,1.6,3.77,3.777,337
2020-09-23T00:00:00.000Z,3.97,41.13,10.52,6.1,13.9,9.103,446
2020-09-24T00:00:00.000Z,5.43,55.43,18.17,10.02,26.43,12.201,465
2020-09-25T00:00:00.000Z,1.53,19.27,4.59,3.13,5.63,2.747,347
2020-09-26T00:00:00.000Z,8.3,43.8,16.07,14.29,17.77,3.48,281
2020-09-27T00:00:00.000Z,5.5,24.17,15.75,10.87,20.57,5.413,230
2020-09-28T00:00:00.000Z,5.53,23.3,11.23,7,16.63,5.076,273
2020-09-29T00:00:00.000Z,1.33,18.03,5.09,3.37,9.02,3.358,254
2020-09-30T00:00:00.000Z,1.4,21.3,10.27,5,12.52,4.307,360
2020-10-01T00:00:00.000Z,3.43,21.9,9.17,5.3,10.42,3.032,301
2020-10-02T00:00:00.000Z,7.07,19.8,14.63,11.95,16.2,2.873,285
2020-10-03T00:00:00.000Z,8.1,24.53,15.67,11.42,19.02,4.625,261
2020-10-04T00:00:00.000Z,9.47,33.22,19.87,16.87,23.27,5.372,293
2020-10-05T00:00:00.000Z,0.6,16.32,3.1,1.27,6.25,3.535,316
2020-10-06T00:00:00.000Z,1.7,32.93,4.57,3.23,11.63,9.562,312
2020-10-07T00:00:00.000Z,1.3,7.9,3.2,2.43,4.03,1.114,333
2020-10-08T00:00:00.000Z,0.9,18.63,2,1.53,3.33,1.846,311
2020-10-09T00:00:00.000Z,0.4,7.93,1.3,1,1.9,1.317,360
2020-10-10T00:00:00.000Z,0.4,21.57,2.2,1.57,3.13,1.697,423
2020-10-11T00:00:00.000Z,0.4,4.83,1.1,0.83,1.37,0.5,435
2020-10-12T00:00:00.000Z,0,4.93,0.47,0.3,0.6,0.413,322
2020-10-13T00:00:00.000Z,0.13,20.8,0.8,0.6,1.1,1.155,405
2020-10-14T00:00:00.000Z,0.2,6.27,0.67,0.5,0.87,0.483,403
2020-10-15T00:00:00.000Z,0.23,19.3,0.8,0.6,1.12,1.228,414
2020-10-16T00:00:00.000Z,0.17,35.43,0.9,0.53,2.33,2.147,430
2020-10-17T00:00:00.000Z,0.1,8.86,0.6,0.5,0.8,0.486,440
2020-10-18T00:00:00.000Z,0,4.09,0.37,0.23,0.5,0.253,451
2020-10-19T00:00:00.000Z,0.03,25.87,0.5,0.3,0.7,1.298,428
2020-10-20T00:00:00.000Z,0.37,14.13,1.59,0.9,2.4,2.548,292
2020-10-21T00:00:00.000Z,7.4,29.53,17.57,14.93,19.87,4.006,347
2020-10-22T00:00:00.000Z,0.2,18.17,2.13,1.27,6.07,4.18,414
